geocode,area_ha,mrnf_biomass,mrnf_carbon,esa_biomass,scanfi_biomass,mrnf_class
"-807905,57+545597,13",5.1808668801918,96.1,47.9,154.4272088353413,49.29530020843138,75-100
"-808746,15+546364,29",5.844332965322225,96.3,48.0,186.52140945584304,62.85440544412608,75-100
"-808898,30+546022,51",8.274075248873515,94.4,47.1,186.76807511737093,64.72661779575328,75-100
"-807998,25+542861,04",5.773799727578638,140.6,69.6,162.3118181818182,89.27918076365393,>=125
"-808373,99+544797,41",2.974390286905246,93.3,46.5,92.01396160558463,93.76028119507912,75-100
"-809803,39+547237,21",3.928866727623592,101.7,50.5,195.27620303230057,89.55386115790407,100-125
"-810025,95+544006,06",7.457558115810854,129.4,64.0,199.1909878682842,85.09045814029669,>=125
"-808816,93+543365,88",8.077687258678493,153.4,75.9,180.46829739298354,80.05873214516896,>=125
"-809602,10+545442,49",4.079616675897608,97.4,48.5,175.24205844980943,85.30775803144226,75-100
"-809833,13+544805,89",3.5882421460370475,102.9,51.2,63.82032400589102,76.59566400933308,100-125
"-808247,05+542540,69",0.26086997093558434,92.6,46.0,66.07291666666667,54.65281501340483,75-100
"-808557,01+552883,86",7.428804537973586,114.5,56.8,193.44284206823778,54.9294360514216,100-125
"-807625,94+546774,24",2.0977717371637192,95.7,47.5,182.78501228501227,77.89735924265072,75-100
"-808085,14+545328,53",5.154972896748747,113.7,56.5,184.9448345035105,76.66337771169829,100-125
"-807846,27+545186,83",7.172339713774023,109.2,54.2,165.71111918604655,57.87902050335246,100-125
"-808515,94+548145,40",4.110258525397962,116.4,57.8,188.8305732484076,73.87386623717897,100-125
"-807053,21+547096,15",2.7638448418946737,44.1,22.2,155.53594771241828,45.85622317596568,<50
"-809042,87+552272,10",10.231251171439617,127.2,63.0,194.06725663716807,71.46791307017844,>=125
"-808122,99+546520,83",4.874139687521165,91.7,45.6,181.14959785522794,69.9546821305842,75-100
"-808491,37+546246,74",8.998337197620915,103.7,51.6,195.3607173850159,54.18487948539096,100-125
"-809108,55+549755,18",7.482273975709152,109.2,54.2,204.54984477406003,82.1013784111018,100-125
"-808044,63+552745,38",3.789509111235967,102.3,50.7,180.10950413223142,48.687425149700616,100-125
"-806701,21+548769,04",0.276450780241751,116.2,57.3,202.1261261261261,79.55569620253165,100-125
"-808632,03+551080,97",7.344807226775723,112.3,55.7,186.58796622097114,64.6794896119913,100-125
"-808130,43+549751,00",4.343917248881148,100.5,49.9,144.6818450620935,65.29648362235066,100-125
"-806916,58+550798,44",14.047279056341315,100.4,49.9,186.1061751152073,86.4786793342098,100-125
