pair_id,fire_lon,fire_lat,harvest_lon,harvest_lat,pair_distance_km,fire_distance_to_aoi_boundary_m,harvest_distance_to_aoi_boundary_m,fire_distance_to_nbac_fire_edge_m,fire_inside_nbac_2005
pair_00335,-77.026808,48.792129,-77.023304,48.790243,0.330544,2043.943686,2273.589753,136.865016,True
pair_00336,-77.010099,48.807221,-77.009021,48.804526,0.308546,3455.524606,3498.395923,113.425616,True
pair_00337,-77.014950,48.801023,-77.013872,48.801023,0.078826,3021.919219,3100.187836,43.622220,True
pair_00338,-77.035701,48.834440,-77.036240,48.835518,0.125652,1031.976952,908.818054,82.551209,True
pair_00339,-77.031928,48.833093,-77.026808,48.832015,0.392703,1212.813205,1375.775419,100.653372,True
pair_00340,-77.030581,48.832284,-77.027347,48.832284,0.236321,1313.429980,1341.529572,168.356321,True
pair_00341,-77.009829,48.807760,-77.008482,48.804526,0.371272,3482.203829,3537.527701,172.491575,True
pair_00342,-77.024382,48.792129,-77.024382,48.792668,0.059663,2220.114223,2227.204579,33.002484,True
pair_00343,-76.965632,48.843872,-76.965363,48.846298,0.269240,602.062062,337.735896,154.646110,True
pair_00344,-77.009290,48.823930,-77.009021,48.824469,0.062817,2416.379859,2359.472754,37.527065,True
pair_00345,-77.043786,48.817731,-77.042977,48.818001,0.066258,1148.604079,1210.877604,11.839320,False
pair_00346,-77.045942,48.767875,-77.045403,48.766258,0.183287,334.641349,352.477180,101.416102,True
pair_00347,-77.013602,48.799945,-77.013333,48.800214,0.035686,3105.628578,3128.693911,12.654051,True
pair_00348,-77.032467,48.767066,-77.033006,48.767875,0.097853,1302.992045,1274.483946,49.493325,True
pair_00349,-77.017106,48.792668,-77.021687,48.791860,0.346768,2755.569218,2412.282271,73.588695,True
pair_00350,-77.033275,48.767336,-77.033275,48.767605,0.029777,1247.842099,1251.384471,1.343314,False
pair_00351,-77.014950,48.804526,-77.009560,48.804257,0.395225,3067.948684,3455.731749,119.839746,True
pair_00352,-77.025999,48.791860,-77.022765,48.791860,0.236524,2099.152054,2333.999505,101.960673,True
pair_00353,-77.023843,48.793746,-77.023574,48.792668,0.120936,2280.524977,2285.879170,54.399191,True
pair_00354,-77.026808,48.791321,-77.023574,48.790243,0.264924,2033.311711,2253.982121,115.719397,True
pair_00355,-77.027347,48.792668,-77.022226,48.791321,0.403119,2011.895654,2366.052293,163.461992,True
pair_00356,-77.015489,48.828511,-77.016297,48.830398,0.217053,1859.139215,1644.739659,140.890625,True
pair_00357,-77.015758,48.810186,-77.018453,48.810455,0.199263,3083.667085,2891.570432,65.463619,True
pair_00358,-77.025191,48.792668,-77.024652,48.792938,0.049469,2168.457451,2211.149854,7.172682,True
pair_00359,-77.028425,48.833362,-77.027347,48.832554,0.119179,1213.690373,1311.856093,35.150322,True
pair_00360,-77.007943,48.824738,-77.009021,48.824738,0.078786,2339.253655,2329.908019,32.868573,True
pair_00361,-77.031389,48.818540,-77.032197,48.819348,0.107177,2058.990683,2010.987311,6.925428,True
pair_00362,-77.027616,48.796711,-77.027347,48.797250,0.062822,2045.565972,2072.190953,32.011510,True
